文本内容,标签,文本长度
。正随着数字化进程的加速财务管理体系正迎来一场深刻的转型企业财务管理信息系统在这一进程中扮演了至关重要的角色其影响力日渐增强这类系统不仅影响着资金流及财务信息的精确度还成为了支持管理层决策和控制风险不可或缺的手段技术的发展使得这些系统功能愈发强大且复杂它们正在重新定义企业的财务运作模式并提升了企业的市场竞争力,管理信息系统,155
。正随着数字技术的迭代演进网络恐怖主义已从线下主导线上辅助转向全链条隐蔽化运作恐怖组织正利用加密通信暗网协作人工智能生成内容等技术手段将极端思想传播跨境资金流转与隐蔽行动策划构建成全链条线上化运作体系这一转型不仅凸显了传统反恐手段的滞后性也对全球治理体系的技术适配性制度协同性与国际协作效能提出严峻挑战亟须构建系统性治理框架,数据分析,162
。正随着民航运输规模持续扩大航班运行密度迅速提升传统依赖人工经验和规则驱动的调度体系逐步暴露出响应滞后资源配置不均异常处置缓慢等结构性短板运行态势呈现高度动态高耦合高约束特征调度系统亟须实现从静态规划向智能推演转型人工智能AI技术在建模预测优化等方面具备强大能力已成为调度智能化升级的关键驱动本研究面向复杂机场运行场景构建以AI算法为核心的智能调度优化框架融合深度学习图神经网络与多目标搜索策略实现对航班滑行路径跑道资源延误趋势与突发扰动的多维优化调配,智能算法,226
。正随着现在社会发展越来越快人工智能技术在各个领域已经有了广泛的应用成为社会经济发展新的引擎就医疗行业而言随着人工智能技术与医疗技术的进一步融合基于人工智能技术的专病数据库的构建与应用为各种疾病提供更快速准确的诊断和治疗,数据库应用,110
。正随着电子化招投标的日益发展公共资源平台的数据量与日俱增借助数据挖掘数据分析使数据服务于人成为一项重要工作当前公共资源数字化还面临一系列问题本文在分析这些问题的基础上提出了数据分析在公共资源管理中的应用策略以及数据分析助推招投标高质量发展的重要路径公共资源交易是指政府及公共部门运用市场化机制将属于公共所有的资源进行交易或使用财政性资金进行的采购或工程建设等交易活动,数据分析,184
。正随着科技的日益发展企业进入了大数据时代大数据时代下数据信息获取更加便捷信息量更加巨大大量的各类数据信息以及大环境的高速变化给各企业的发展运营带来了挑战财务管理作为企业管理的重要组成部分在企业发展的各个阶段均承担着不可忽视的重要作用大数据时代下建设一流财务管理体系离不开财务信息管理系统的支持大数据时代下传统单一的财务管理信息系统出现了效率低下差错率高数据价值低协同效应差等诸多问题为此大中型企业应充分认识到财务管理信,管理信息系统,210
。正随着经济快速发展一些企业为了拿到上市融资资格可能发生财务舞弊的行为由于现代企业业务类型新颖财务舞弊行为复杂且隐蔽传统检测方法很难应对这些新的业务模块也满足不了大规模数据分析的需求而且效率低误报率还高基于此人工智能技术在财务舞弊检测中发挥了一定的作用它的应用现状和发展挑战为各行业优化财务舞弊检测体系提供参考不过人工智能技术的应用还处在辅助阶段尚未完全取代人工审计需要结合业务实际发挥它的防控价值,智能算法,199
。正领导干部经济责任审计作为监督干部履职的重要手段其核心使命在于保障国家重大政策落实促进财政资金高效使用推动领导干部担当作为但由于涉及数据种类繁杂问题形式多样传统审计方式在实践中面临效率低覆盖面窄的瓶颈亟须通过大数据技术创新审计方法深度挖掘数据关联价值实现问题线索精准定位本文以H省审计厅应用国产神通数据库开展数据关联分析的实践为例结合企业补贴与三保保障资金审计案例探讨其在提升经济责任审计质效方面的路径与方法,数据库应用,205
。正高校内部审计的主要目的是对现有职能部门进行监督管理构建完善的治理体系提升高校自身治理能力这对于推动高校实现可持续发展具有重要作用为推进高校教育治理体系和治理能力智能化现代化发展要加强高校智能化审计管理信息系统建设开展智能化审计管理工作提升高校审计管理工作水平为高校持续稳定发展奠定基础,管理信息系统,144
。正黑龙江省按照构建大平台大数据大系统的思路统筹集成持续深化放管服改革建设智慧应用大系统切实推进融合共享在治理能力数字化转型创新实践方面提供了新思路为贯彻落实国务院关于加强数字政府建设的指导意见住房和城乡建设部十四五信息化规划及黑龙江省十四五数字政府建设规划相关要求规范优化政务服务加快推进住建领域政务服务信息化建设黑龙江省住房和城乡建设厅以下简称黑龙江省住建厅坚持以数跑龙江为统领以打造办事不求人和六最政务服务品牌为目标集中优势资源建设并持续完善黑龙江省住房和城乡建设政务服务管理信息系统以下简称政务系统,管理信息系统,253
。步态识别对智能可穿戴设备的人机融合至关重要传统步态识别方案响应速度慢多种步态综合识别准确率低导致人机融合度低和穿戴舒适性差针对可穿戴设备高度人机融合的需求提出了融合表面肌电sEMG传感器与惯性传感器IMU的步态及相位精准识别方法以三轴加速度序列为基础特征源构建多层感知器MLP神经网络模型对走跑上下楼上下坡六种步态进行分类识别同步引入sEMG传感器研究腓肠肌收缩放松与步态相位的关联逻辑通过惯性特征肌电强度边缘运算协同机制实现步态相位的精准判断测试结果表明步态识别响应时间小于076 s综合识别准确率达到了9657该方法为可穿戴设备的智能化精准化人机融合提供关键技术支撑具备一定的工程应用价值,神经网络,297
。步进电机作为精密自动化设备的核心执行元件在智能制造医疗器械及精密仪器等领域应用广泛然而传统整步半步驱动方式存在振动明显噪声较大及步距角分辨率不足等问题严重限制了系统性能的进一步提升为解决上述问题本研究采用硬件电路设计与软件算法开发相结合的技术路线以专用驱动芯片TMC2209为核心构建功率驱动电路利用单片机产生高分辨率PWM脉冲信号实现了最高1256细分的高精度电流控制同时在软件层面集成S型曲线加减速规划算法以优化步进电机启停及变速过程中的动态特性实验结果表明所设计的系统能够显著抑制电机运行中的振动和噪声有效提高定位精度与运动平稳性改善了系统的动态响应性能为高精度运动控制提供了一种低成本高可靠性的解决方案,单片机应用,306
。水上活动的普及导致溺水事故频发进而推动了防溺水技术需求的增长一种基于单片机控制的微型防溺腰带应运而生其以STM32F107C8T6为核心集成液位传感器心率传感器和全球定位系统Global Positioning SystemGPS模块可以实时监测心率水位与位置信息该腰带通过有机发光二极管Organic LightEmitting DiodeOLED显示屏实现本地数据可视化并借助jdy31蓝牙模块与手机App连接支持远程数据同步与监控心率异常时蜂鸣器自动触发报警这种设计结合多维度监测与智能预警功能适用于游泳潜水等高风险水域活动为人们提供可靠安全的保障,单片机应用,278
。水力发电工业控制系统的自主可控是保障国家能源安全和推进水电行业智能化转型的战略基础其技术装备及产业的发展受到政府部门发电企业和科研机构的高度重视为全面梳理系统自主可控发展现状并科学布局相关技术研究本文充分调研水电企业主要装备厂商与重大科技成果从系统部件元件3个层级综述水力发电工业控制系统装备的自主可控水平及薄弱环节在此基础上深入分析工业控制系统中核心控制器和传感器的国产化技术水平关键能力差距及主要制约因素并探讨水力发电工业控制系统国产化改造的趋势最后从自主可控能力和适应新型电力系统调节需求2个方面提炼亟需突破的关键技术挑战并展望相关研究路径,工业控制系统,274
。水库水资源优化调度研究对于调节水资源时空分配不均缓解区域水资源短缺具有重要意义水库水资源优化调度问题是一个高维复杂非线性优化问题传统的函数优化方法难以处理此类具有高维非线性特征的优化模型而以启发式算法为代表的随机抽样算法在稳定性与通用性方面存在不足为此本文提出一种高效的确定性抽样算法旨在提高算法的求解效率和通用性主要研究工作及成果如下1开展了确定性抽样算法的原理与实现方法研究通过分析总结启发式算法在求解复杂非线性优化问题中存在的不足从试验设计的角度出发提出确定性抽样算法算法在执行过程中不涉及任何随机操作以期提高算法的运行效率与通用性基于此设计思想以正交试验设计为基础提出了正交拉丁抽样算法通过测试函数验证了算法的有效性然而此算法在应用过程中仍存在两点不足一是针对变量之间具有交互影响的优化问题其理论最优解不一定是实际最优解二是当决策变量取值范围较大时求解精度欠缺为此提出正交拉丁邻域搜索算法该算法在正交拉丁抽样算法的基础上耦合了坐标变换技术和确定性邻域搜索算法其中坐标变换增强了算法的全局寻优能力确定性邻域搜索提高了算法的求解精度三者的有机结合弥补了正交拉丁抽样算法存在的不足2开展了确定性抽样算法的性能研究以进化计算大会CEC2020中的14个基本函数作为算法的测试基准首先在变量数量为标准的20个时对确定性抽样算法展开研究并与11种启发式算法进行性能对比包括7个典型算法2个改进算法以及2个组合算法结果表明正交拉丁抽样算法获得了其中10个函数的最优解正交拉丁邻域搜索算法则获得了全部14个测试函数的最优解在启发式算法中组合算法HBBOG的优化性能最好共获得了9个函数的最优解正弦余弦算法SCA获得了8个最优解灰狼算法GWO得到了7个最优解而其他算法只获得了16个最优解其次将变量个数从20逐步增加到150在此过程中确定性抽样算法始终保持稳定依然分别获得了10和14个函数的最优解相比之下大都数启发式算法的优化性能随着变量数量的增加而大幅下降当变量数量达到80时除了GWO和HBBOG依然能获得7和9个测试函数的最优解以外其他启发式算法均已无法得到任何函数的最优解当变量个数达到120150时HBBOG依然保持稳定而GWO获得最优解的数量变为6个虽然HBBOG在变量数量增加的过程中也展现了良好的稳定性但是其仍然没有达到确定性抽样算法的性能水平并且确定性抽样算法求解全部14个测试函数所消耗的时间仅为HBBOG算法的97因此确定性抽样算法在最优性稳定性以及计算效率等方面均展现出了优异的性能3开展了确定性抽样算法在串联水库水资源优化调度两库两站工程中的应用研究首先以运行周期内缺水量最少为目标构建了串联水库水资源优化调度模型随后使用正交拉丁抽样算法和正交拉丁邻域搜索算法分别进行求解并与多种启发式算法进行对比分析其中正交拉丁邻域搜索算法获得了全局最优解水库系统运行周期内缺水量为0 m3达到了供需平衡而正交拉丁抽样算法由于变量范围较宽离散步长不够导致优化精度欠缺其目标函数的计算结果为29万m3相比之下性能最好的启发式算法其计算结果为81万m3仍不及确定性抽样算法案例分析结果证明确定性抽样算法能够有效求解串联水库水资源优化调度问题并且计算结果均优与启发式算法4开展了确定性抽样算法在并联水库水资源优化调度四库四站工程中的应用研究首先以运行周期内缺水量最少为目标构建了并联水库水资源优化调度模型根据模型特点采用正交拉丁邻域搜索算法进行求解并与11种启发式算法进行对比分析从最优性的角度正交拉丁邻域搜索算法获得了最优解与11种启发式算法中性能最好的相比目标函数值下降了565从高效性的角度正交拉丁邻域搜索算法运行时间仅为前者的054最后将算法应用于一个具有240个变量的多年调节问题正交拉丁邻域搜索算法仍然以最高的效率获得了最优的计算结果由此证明正交拉丁邻域搜索算法不仅可以成功求解变量数量更多的并联水库水资源优化调度问题而且在计算精度和效率方面均优于所比较的11种启发式算法综上所述本文提出了一种求解高维复杂非线性优化问题的确定性抽样算法与启发式算法相比确定性抽样算法具有高效全局最优以及更加普遍适用的特点研究成果不仅可以解决诸如水库水资源优化调度等高维复杂非线性问题还为优化算法的研究提供了新的思路具有重要的工程意义和学术价值,资源优化调度,1769
。水色遥感获得的叶绿素a浓度ChlorophyllaChla数据广泛用于描绘浮游植物生物量可提供全球浮游植物丰度的分布信息然而非云条件下由于吸收性气溶胶等因素影响传统水色遥感进行严格质控导致沿海地区出现明显的数据缺失本文利用神经网络方法扩大非云区域的Chla遥感数据空间覆盖范围以2017年数据为例将可见光红外成像辐射仪Visible infrared Imaging Radiometer VIIRS高质量Chla数据与瑞利校正反射率Rrc相结合构建神经网络模型开展了提升渤黄海Chla空间覆盖范围的研究考虑到季节性气溶胶的影响神经网络模型逐月独立训练训练结果的决定系数R2处于094099之间测试结果 R2处于093099之间利用两幅独立VIIRS影像和实测数据进行验证结果显示Chla的空间覆盖率得到显著提高此方法具有一定扩展性可应用于其他水色遥感数据从而提高Chla的空间覆盖范围,神经网络,394
。汽车倒车防撞系统也称倒车雷达是一项利用超声波原理工作的辅助泊车技术其核心在于车尾的传感器能精确测算与后方障碍物的间距一旦进入危险范围系统便会发出警报本文设计了智能汽车倒车防撞报警系统该系统主要由超声波传感器电路单片机控制电路液晶显示电路组成利用超声波传输中距离和时间的关系采用单片机控制进行数据分析并通过1602显示器显示距离并由语音模块发出警示通过实际测试表明该系统操作简单数据准确率高可靠性能好的优点,单片机应用,203
。汽车尾气排放控制系统中的核心部件是氧传感器但是氧传感器在使用过程中经常会出现各种各样的故障因此在氧传感器的检测过程中能否做到快速地获取氧传感器的工作状态信息并诊断其故障成为氧传感器检修技术的重中之重本文通过构建智能诊断模型利用机器学习模型对比特征工程技术相结合的方法来完成氧传感器的故障自检测其实验结果与传统检测方法相比检测准确率明显提升,智能算法,170
。汽车电子电控系统在实际应用过程中往往会由于各种因素的影响而出现故障因此需加强对电子电控系统故障的诊断及时发现问题并加以处理提升汽车安全性因为电子电控系统结构复杂功能繁多所以故障诊断往往难度较大本文探讨了使用智能算法进行故障诊断的应用场景通过专业的智能算法分析可有效提升电子电控系统故障诊断的准确性实现从算法到决策的顺利完成,智能算法,162
。河北省智慧农业示范建设专项行动计划20202025年聚焦的智慧种植智慧畜牧智慧水产智慧种业智慧新业态智慧监管六项重点工程的建设与实现离不开现代信息技术的加持云计算作为新一代信息技术的核心它的应用为地区智慧农业信息化发展带来了新的契机注入了新的活力本文深入探讨了云计算技术在智慧农业发展中的作用与地位结合当地云计算技术的应用现状给出了助力地区智慧农业信息化发展的策略与路径从技术层面提出了构建基于云计算的农业信息化平台的建设方案为智慧农业建设地一线数据的实时采集存储高效智能处理与分析精准定位与决策经济效益地预估与提升提供了坚实后盾与技术支持,农业信息化,271
。河南省作为我国农业大省和食品工业强省食品产业是其重要经济支柱本文通过梳理河南省食品企业近五年国内商标申请量近十年国际商标申请量地理标志商标注册量等相关数据系统分析河南省食品企业国内国际商标申请注册趋势及地理标志发展现状剖析存在的政策落地效能不足商标品牌建设保护意识薄弱地理标志商标数量偏少区域品牌产业协同效应不足国际竞争力不强等问题并提出相应对策建议为推动河南省从食品加工大省向食品品牌强省转型加强商标品牌建设提高市场竞争力提供参考,数据分析,217
。河道水文检测在农业灌溉洪水预警和河道治理中具有重要作用然而传统人工检测存在效率低难以及时启动应急预案等局限性基于此本研究设计了一款基于单片机的河道水文自动检测与预警系统完成了监测终端的硬件焊接调试和软件程序编写该系统以单片机为控制核心由河道水文信息采集端传输端和监控云端组成结合水位传感器和流量传感器实现对河道水位深度和水流速度的自动监测并通过互联网将数据上传至云端进行实时监控与大数据分析通过在室内开展模拟测试验证了系统的有效性成功实现了对容器水位深度和水流速度的自动检测数据上传和超限报警该系统对于河道治理洪水预警及助力乡村振兴等具有现实意义为提升农业灌溉效率及洪水预警能力提供了可靠的技术支持,单片机应用,300
。流域水资源智能调度是应对气候变化和人为扰动双重挑战的核心技术本文将复杂网络理论与智能算法相结合构建多目标协同优化框架突破水资源时空配置的多维约束瓶颈通过构建多目标协同优化函数和动态反馈调节机制实现经济效益生态和社会效益的协同优化设计融合遗传演化机制和深度学习模型的混合智能算法提升高维决策空间搜索效率构建生态红线约束量化模型和跨流域协同博弈模型形成兼顾刚性边界和弹性自适应的调控策略针对气候变化情景创新性地引入气候水文社会经济多尺度耦合模型和数字孪生技术以提升系统应对极端气候事件的能力本文旨在解决流域多利益主体利益冲突提升调度体系韧性推动水资源管理向智能化精细化方向演进,资源优化调度,287
。海上发射的航天器长期暴露于严酷的湿热腐蚀环境中其工作性能与贮存可靠性受到区域性气候影响而现有环境试验方法试验剖面与实际环境数据的关联性存在不足基于在海南万宁沿海地区实时采集的户外遮棚与库房三类场地的温湿度数据采用Kmeans聚类算法与K2贝叶斯网络模型结构学习算法实现对温湿度数据内在结构的特征聚类和影响规律挖掘研究结果表明温湿度分布能够划分为中温高湿高温低湿和低温低湿三类典型模式通过贝叶斯网络模型建立了月份场地和温湿度数据之间的概率关联可依据任务参数生成概率化环境剖面该方法在沿海环境特征识别中表现出良好的适应性可为航天器湿热海洋环境适应性设计及试验条件的定制化设计提供方法支持,聚类算法,292
。海上风电运维船的运动预报是保障作业安全与效率的关键环节针对传统数值预报方法因计算效率不足难以满足工程实时性需求的问题提出一种基于LSTM神经网络和布谷鸟搜索算法的船舶运动预报方法以双体船型风电运维船为研究对象预报其在5级海况斜浪条件下的垂荡横摇和纵摇运动特性构建基于LSTM神经网络的船舶运动预报模型采用布谷鸟搜索算法对LSTM模型的超参数进行优化以提升其预测精度和泛化能力结果表明提出的预报方法能够高效准确地预测船舶运动响应与传统LSTM模型相比其预测精度显著提高为海上风电运维船的实时运动预报提供新的解决方案,神经网络,257
。海洋石油工程作为能源工程领域中技术要求最高环境最复杂的分支其项目管理始终面临诸如施工环境恶劣技术路径复杂资源协同困难以及风险高度不确定等多重挑战传统项目管理手段在应对这些问题时已显力不从心与此同时人工智能技术尤其是在大数据分析机器学习知识图谱和智能决策等方面的突破为项目管理的智能化转型提供了全新路径人工智能不再局限于辅助工具的角色而正逐步成为管理链条中的核心力量,数据分析,183
。涂胶是汽车制造中最关键的工艺之一直接影响到整车的强度密封性噪音等性能指标传统的检测方法是人工目视抽检频次低效率低且受人员责任心和经验因素影响基于实际应用场景提出了一种低成本涂胶视觉检测的软硬件架构阐述了图像采集畸变矫正图像滤波边界限定目标分割形态学处理和特征提取检测等关键算法实现了对限定区域内胶料涂偏漏涂少涂等缺陷的检测和预警功能,机器视觉,167
。深入探讨了盐城市农业信息化发展的现状及特点肯定了农业农村信息化发展的技术应用与取得的显著成果分析了当前农业信息化发展所面临的主要问题和挑战总结出盐城市农业农村信息化发展的针对性措施与建议以期为农业信息化高质量发展提供参考,农业信息化,111
。深入探讨了西藏农业信息化的发展现状面临的挑战以及未来的发展策略通过对相关数据的分析和实地调研阐述了农业信息化在提升西藏农业生产效率促进农产品流通和推动农业现代化方面的重要作用同时针对存在的问题提出了相应的解决方案旨在为西藏农业信息化的持续健康发展提供理论支持和实践指导,农业信息化,135
。深入探讨水电站电气设备的常见故障类型包括电动机故障变压器故障和发电机故障等并分析了这些故障对电力生产和传输的影响在此基础上本文研究了智能算法在水电站电气设备故障诊断与预测中的应用通过传感器技术实时监测设备状态利用深度学习算法进行故障诊断并构建了基于时间序列分析的故障预测模型案例分析表明所提出的模型能够有效识别设备故障提前预警潜在问题为水电站的安全稳定运行提供了有力支持,智能算法,186
。港口航道作为水上交通的基础设施其水深优化配置对于提升港口通航能力保障船舶安全高效运行以及增强港口竞争力具有重要意义本研究旨在探索智能算法在港口航道水深优化配置领域的应用以克服传统方法存在的依赖经验计算复杂及精度有限等问题通过引入遗传算法粒子群算法等智能算法对航道水流进行模拟分析预测泥沙运动规律并构建综合考虑多因素的优化模型实现了对港口航道水深的科学优化配置应用结果表明智能算法显著提升了港口通航效率降低了维护成本为港口航道的可持续发展提供了有力支持,智能算法,226
。滨海流域受台风暴雨洪水高潮位等多源致灾因子复合作用洪涝灾害频发传统水文水动力模型在流域洪水预报方面虽然具有适用性强计算精度高的优点但因其较高的计算耗时难以满足高频高效的实时预报需求以甬江流域为对象基于自研的水文水动力一体化模型构建多情景模拟方案提出一种基于Transformer的流域多站点洪水预报替代模型模型输入产流水库出流边界潮位及前期水位输出预测水位结果表明在72 h预见期内模型保持MAE小于0020 mNSE接近1典型台风测试中平均NSE超过0995过程线与原模型高度一致预测168 h过程耗时11 s计算效率提升近60倍,神经网络,267
。激光熔覆技术作为一种先进的表面改性技术已广泛应用于航空航天汽车制造能源等领域激光熔覆层的质量与工艺参数密切相关随着智能算法和试验设计方法的不断发展多种优化方法被逐步应用于激光熔覆工艺参数的优化中本文结合国内外在该领域的研究进展综述了遗传算法粒子群算法蚁群算法等智能优化算法的应用现状重点阐述了PSOBP神经网络GABP神经网络等混合算法在工艺参数优化中的研究进展并从优化效果适用性和效率3个维度对比分析了不同方法的优缺点最后基于上述分析对未来研究方向进行了展望,智能算法,231
。火电厂作为国民经济的重要能源支柱其高效安全运行对电力系统稳定性至关重要针对目前传统调控模式存在响应缓慢和调控精度低的问题本文提出一种基于改进NSGAⅡ算法的火电厂集控运行参数优化方法通过自适应参数调节局部搜索增强及动态罚函数约束实现燃料消耗排放污染和运行稳定性的协同优化试点应用结果表明该方法显著降低燃耗与排放提高系统响应能力和经济效益为火电厂智能调控提供了切实可行的技术路径,智能算法,189
。烟草物流配送中存在的效率低成本高响应慢等问题为此提出基于百度云智能算法的智能送货系统功能开发方案通过整合百度云大数据引擎调度引擎和大模型引擎优化策略库参数并实现动态路径规划结合安徽烟草物流实际案例验证该系统在降低配送成本提升客户满意度方面的有效性研究结果表明该系统可使单箱配送费用降低17客户满意度提升至92可为烟草行业数字化转型提供技术参考,智能算法,172
。热气防冰是飞行器结冰防护的重要技术手段但传统设计方法多通过数值模拟预测防冰表面温度来实现其结构参数优化存在设计周期长设计效率低等问题本文提出了一种基于混合卷积神经网络convolutional neural network CNN和门控循环单元gate recurrent unit GRU的飞行器防冰表面温度分布预测模型建立了基于该预测模型和遗传算法的多目标优化设计方法并将其应用于涡扇发动机进气道热气防冰系统结果表明所建立的神经网络模型能够快速且准确地预测防冰表面的温度分布平均绝对误差小于15 K预测准确度高于95基于快速非支配排序遗传算法获得了进气道热气防冰系统一系列满足约束条件的防冰结构优化设计方案与传统设计方法相比该优化方法所得结构设计在显著降低引气量的同时提高了防冰区域平均温度有效提升了热气防冰系统设计效率,神经网络,363
。焦粉作为烧结生产的主要燃料其粒度分布对烧结产质量指标和能耗水平影响显著现行焦粉粒度检测通常采用人工取样烘干振动筛分的方式操作复杂滞后时间长不利于对破碎系统和配料系统进行及时调控虽然图像识别在线检测运动物料粒度的技术发展迅速但焦粉破碎配料流程中焦粉粒度细小环境恶劣给图像采集与粒度识别带来了严峻考验设计了一套面向复杂工业环境的图像采集系统由图像采集箱和多级除尘管道组成以减少光照温度和灰尘对图像采集的影响并针对焦粉颗粒细小的特性利用改进的神经网络多次优化训练粒度识别模型识别运料皮带上的表层焦粉粒度分布再结合机器学习算法构建预测模型将图像识别得到的表层粒度分布与人工筛分数据相结合训练生成预测整体焦粉粒度分布的模型从而提高识别精度该图像采集和粒度识别系统在国内某钢铁企业焦粉破碎车间投入应用应用结果表明该系统对00505335和5∞ mm四个区间焦粉粒度分布比例的识别误差均小于3,机器视觉,390
。煤炭企业工业控制系统在现代生产中发挥着重要的作用然而随着信息技术的快速发展和网络化程度的提高这些系统也面临着越来越严重的网络安全威胁为了确保煤炭企业工业控制系统的安全性本文针对该领域进行了网络安全风险评估研究通过分析煤炭企业工业控制系统的特点和常见的网络攻击方式建立了相应的评估模型并提出了一套综合的风险评估方法该方法结合了威胁性潜在漏洞影响程度等因素能够综合评估煤炭企业工业控制系统的网络安全风险并为其安全防护提供科学依据,工业控制系统,213
。爆破块度是岩石性质爆破参数和炸药性质等组合作用结果其准确预测是实现矿山精细爆破与采选能耗协同优化的关键为了提升预测精度构建了基于蚁群优化ACO算法和BP神经网络的爆破块度预测模型并确定了主要影响因素以司家营露天矿为例为提升预测精度通过建立爆破案例样本库来训练模型分析了各影响因素的权重结果表明ACO显著提高了模型的预测能力在爆破块度影响因素中孔距权重最大最小抵抗线权重最小爆破参数对爆破块度的影响存在最优范围单一调节某参数难以持续改善爆破块度该模型为根据爆破效果要求反向优化爆破设计提供了有效手段和理论依据,神经网络,254
。物联网与计算机网络的融合应用被水利信息化的深入发展推动提升了水资源管理的智能化水平物联网技术凭借传感器网络和远程监测实现水文数据的实时采集与传输而计算机网络提供了可靠的数据存储分析与决策支持两者的结合促进了水利调度的智能优化并提高了应对突发水文事件的能力不过融合应用仍面临数据标准化网络安全及设备兼容性等挑战这影响了整体系统的稳定性与效率通过数据标准化建设网络安全体系完善以及智能分析技术的深入应用能进一步提升水利信息化的智能化水平未来随着人工智能大数据和云计算不断发展水利信息化会朝着更高效精准智慧的方向发展并给水资源管理提供更先进的技术支撑,计算机网络,273
。物联网环境下海量异构数据对实时处理能力提出严峻挑战而传统云计算模式存在延迟高带宽不足等问题对此构建基于边缘计算的数据处理优化架构设计多目标任务调度算法融合负载均衡和延迟优化目标提出自适应资源分配机制根据实时负载动态调整计算资源采用改进的最近最少使用Least Recently UsedLRU缓存策略优化数据存储访问效率通过容器化技术实现边缘计算平台部署集成流式数据处理引擎和分布式监控系统在智慧交通工业物联网等场景的验证表明相比传统方案所提方案的数据处理延迟降低约60系统吞吐量提升约65资源利用率提高约40为物联网数据处理提供了高效解决方案,资源优化调度,273
。现代信息技术的迅猛发展极大地推动了农业现代化的进程气象遥感卫星导航智能农业专家系统及自动化耕作等信息技术手段已经在农业生产和管理中得到广泛应用并不断推动农业产业结构的优化和升级目前农业信息化建设无论在理论研究中还在生产实践中都受到热切关注本文以提高康保牧场信息化建设水平促进其生产和管理水平为目标本着因地制宜服务长远的原则立足康保牧场农业生产及其信息化建设现状通过深入调查研究并结合其他地区成功经验对康保牧场的信息化建设进行了全面规划具体工作包括一对康保牧场的基本情况进行摸底和梳理通过问卷调查实地走访调阅资料等手段对牧场信息化建设的物质和人文条件进行详细调研二规划制定康保牧场信息化建设的基本方案其中包括农情监测项目的确定监测网点的布局监测信息的通讯传输方式服务器的选择监测数据的处理等方面其中监测信息的通讯传输采用光纤网络和高速无线网络方式使其具有信息实时交互的优越性为了各项监测数据能有效利用我们开发了农业环境数据处理系统系统采用以Hadoop作为离线数据计算处理中心HDFS作为分布式文件系统和HiveHBase作为农业环境数据存储与管理中心进行数据处理为了验证农业环境数据处理系统的科学性和可靠性采用从天气史和河北病虫害防控信息网站下载的数据进行数据分析实验实验证明在有季节平滑时HoltWinters累乘模型比累加模型更稳定预测效果更好并对康保牧场2023年某些环境因素走势进行预测这样的科学预测可为农业政策的科学决策提供了数据支持并能够对农业生产者就调整生产活动合理安排生产管理如节水灌溉病虫害防止施肥节点等方面进行精准指导三对康保牧场农业信息化建设提出3项决策建议首先是康保牧场需要培养农业信息化服务对象面向康保农业需求整合资源其次是加强农业信息化投入健全设备平台与资源最后是宣传农业信息化相关政策发挥政府引导作用上述方案的实施可以帮助康保牧场管理人员科学合理地进行农作物种植养殖管理等决策提高农业生产和农业管理效率可以实时监测土壤水分气象条件等环境因素帮助康保牧场管理人员合理利用土地水资源等农业生产要素实现资源的最优配置可以帮助康保牧场管理人员进行精准施肥病虫害预警等管理措施减少对环境的污染和资源的浪费推动农业向可持续发展方向转变,农业信息化,927
。现有深度图聚类方法因依赖静态初始图结构而存在显著局限性此类结构通常不完整或存在偏差且难以动态捕捉节点相似性变化为解决上述问题本文提出基于图注意力自编码器的自适应加权深度图聚类算法AWDGC首先通过可训练的广义马氏距离结合高斯核函数自适应分配边权重以构建加权邻接矩阵其次设计图注意力自编码器通过注意力机制融合多阶邻居信息以增强特征判别性进一步提出基于节点相似性的动态结构优化策略周期性更新邻接矩阵以捕捉相似性动态变化最后引入自监督聚类模块通过KL散度优化聚类分布对齐提升特征表示与聚类任务的协同性在ACMDBLPCITESEERTEXAS等6个公开数据集上的实验表明 AWDGC在聚类指标上均显著优于8个代表性基线方法,聚类算法,309
。现阶段竞技体育领域的教练员和运动员对训练较为重视但对体育情报相关数据的应用方面仍存在提升空间数据分析与应用已成为推动竞技体育高质量发展的核心要素当前数据的分析在竞技体育领域的支持维度也在持续拓展鉴于此本文运用文献资料法从甘肃省竞技体育工作的实际情况出发系统吸纳相关学术成果通过探讨研究拟构建甘肃运动员训练信息管理系统该系统涵盖体育文献运动员基础机能生理生化指标和运动成绩等相关信息,管理信息系统,191
。现阶段计算机网络入侵意图识别方法是将收集到的数据与根据已知的攻击模式和经验制定的规则进行匹配但规则的更新滞后容易出现规则冲突或遗漏的情况导致识别精度低为此研究基于随机森林的计算机网络入侵意图快速识别方法根据入侵变化特性实时提取计算机网络入侵代表性入侵特征基于提取的特征以决策树为基础模型构建随机森林分类器分类后因各树构建特征和样本不同结果有差异采用加权投票综合评估判定入侵意图实验结果表明基于随机森林的计算机网络入侵意图快速识别方法ROC曲线最高误报率最低均优于对比方法具有显著优势与高推广价值,计算机网络,248
。球团造球智能检测技术是球团矿造球智能控制的基础基于辊筛生球图像研发结合CBAM注意力机制的Unet神经网络生球边缘分割和粒径在线检测技术在验证准确性和可靠性后将算法应用辊筛生球粒度识别中搭建辊筛生球粒度检测系统实现生球粒度的在线实时测量为造球闭环智能控制奠定了坚实基础,机器视觉,135
